code_list_key,source_key,list_key,list_name,item_name,concept_name,superseded_by,source_page,data_sets,valid_from,valid_to,is_current,first_fetch_run_id,loaded_at,loaded_by,updated_at,updated_by
19,nhs_dd_cds,cds_interchange_application_reference,cds_interchange_application_reference,CDS INTERCHANGE APPLICATION REFERENCE,CDS INTERCHANGE APPLICATION REFERENCE,,https://www.datadictionary.nhs.uk/data_elements/cds_interchange_application_reference.html,cds_v6-2-3_type_001_-_cds_interchange_header;cds_v6-2_type_001_-_cds_interchange_header;cds_v6-3_type_001_-_cds_interchange_header,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
20,nhs_dd_cds,cds_interchange_test_indicator,cds_interchange_test_indicator,CDS INTERCHANGE TEST INDICATOR,CDS INTERCHANGE TEST INDICATOR,,https://www.datadictionary.nhs.uk/data_elements/cds_interchange_test_indicator.html,cds_v6-2-3_type_001_-_cds_interchange_header;cds_v6-2_type_001_-_cds_interchange_header;cds_v6-3_type_001_-_cds_interchange_header,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
21,nhs_dd_cds,cds_message_type,cds_message_type,CDS MESSAGE TYPE,CDS MESSAGE TYPE,,https://www.datadictionary.nhs.uk/data_elements/cds_message_type.html,cds_v6-2-3_type_003_-_cds_message_header;cds_v6-2_type_003_-_cds_message_header;cds_v6-3_type_003_-_cds_message_header,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
22,nhs_dd_cds,cds_message_version_number,cds_message_version_number,CDS MESSAGE VERSION NUMBER,,,https://www.datadictionary.nhs.uk/data_elements/cds_message_version_number.html,cds_v6-2-3_type_003_-_cds_message_header;cds_v6-2_type_003_-_cds_message_header;cds_v6-3_type_003_-_cds_message_header,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
23,nhs_dd_cds,cds_protocol_identifier_code,cds_protocol_identifier_code,CDS PROTOCOL IDENTIFIER CODE,CDS PROTOCOL IDENTIFIER CODE,,https://www.datadictionary.nhs.uk/data_elements/cds_protocol_identifier_code.html,cds_v6-2-3_type_005b_-_cds_transaction_header_group_-_bulk_update_protocol;cds_v6-2-3_type_005n_-_cds_transaction_header_group_-_net_change_protocol;cds_v6-2_type_005b_-_cds_transaction_header_group_-_bulk_update_protocol;cds_v6-2_type_005n_-_cds_transaction_header_group_-_net_change_protocol;cds_v6-3_type_005b_-_cds_transaction_header_group_-_bulk_update_protocol;cds_v6-3_type_005n_-_cds_transaction_header_group_-_net_change_protocol,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
24,nhs_dd_cds,cds_type_code,cds_type_code,CDS TYPE CODE,CDS TYPE CODE,,https://www.datadictionary.nhs.uk/data_elements/cds_type_code.html,cds_v6-2-3_type_005b_-_cds_transaction_header_group_-_bulk_update_protocol;cds_v6-2-3_type_005n_-_cds_transaction_header_group_-_net_change_protocol;cds_v6-2_type_005b_-_cds_transaction_header_group_-_bulk_update_protocol;cds_v6-2_type_005n_-_cds_transaction_header_group_-_net_change_protocol;cds_v6-3_type_005b_-_cds_transaction_header_group_-_bulk_update_protocol;cds_v6-3_type_005n_-_cds_transaction_header_group_-_net_change_protocol,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
25,nhs_dd_cds,cds_update_type,cds_update_type,CDS UPDATE TYPE,CDS UPDATE TYPE,,https://www.datadictionary.nhs.uk/data_elements/cds_update_type.html,cds_v6-2-3_type_005n_-_cds_transaction_header_group_-_net_change_protocol;cds_v6-2_type_005n_-_cds_transaction_header_group_-_net_change_protocol;cds_v6-3_type_005n_-_cds_transaction_header_group_-_net_change_protocol,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
26,nhs_dd_cds,consultation_mechanism,consultation_mechanism,CONSULTATION MECHANISM,CONSULTATION MECHANISM,CONSULTATION MECHANISM,https://www.datadictionary.nhs.uk/data_elements/consultation_mechanism.html,cds_v6-3_type_020_-_outpatient_cds,1900-01-01T00:00:00.000000+00:00,2026-09-12T21:55:57.028191+00:00,false,3,2026-09-12T21:50:58.303823+00:00,databot,2026-09-12T21:55:57.028191+00:00,databot
129,nhs_dd_cds,consultation_mechanism,consultation_mechanism,CONSULTATION MECHANISM,CONSULTATION MECHANISM,,https://www.datadictionary.nhs.uk/data_elements/consultation_mechanism.html,cds_v6-3_type_020_-_outpatient_cds,2026-09-12T21:55:57.028191+00:00,,true,4,2026-09-12T21:55:57.028191+00:00,databot,,
27,nhs_dd_cds,consultation_medium_used,consultation_medium_used,CONSULTATION MEDIUM USED,CONSULTATION MEDIUM USED,CONSULTATION MECHANISM,https://www.datadictionary.nhs.uk/data_elements/consultation_medium_used.html,cds_v6-2_type_020_-_outpatient_cds;cds_v6-2_type_021_-_future_outpatient_cds,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
28,nhs_dd_cds,consultation_type,consultation_type,CONSULTATION TYPE,CONSULTATION TYPE,,https://www.datadictionary.nhs.uk/data_elements/consultation_type.html,cds_v6-3_type_020_-_outpatient_cds,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
29,nhs_dd_cds,critical_care_activity_code,critical_care_activity_code,CRITICAL CARE ACTIVITY CODE,CRITICAL CARE ACTIVITY CODE,,https://www.datadictionary.nhs.uk/data_elements/critical_care_activity_code.html,cds_v6-2_type_120_-_admitted_patient_care_-_finished_birth_episode_cds;cds_v6-2_type_130_-_admitted_patient_care_-_finished_general_episode_cds;cds_v6-2_type_140_-_admitted_patient_care_-_finished_delivery_episode_cds;cds_v6-2_type_180_-_admitted_patient_care_-_unfinished_birth_episode_cds;cds_v6-2_type_190_-_admitted_patient_care_-_unfinished_general_episode_cds;cds_v6-2_type_200_-_admitted_patient_care_-_unfinished_delivery_episode_cds;cds_v6-3_type_120_-_admitted_patient_care_-_finished_birth_episode_cds;cds_v6-3_type_130_-_admitted_patient_care_-_finished_general_episode_cds;cds_v6-3_type_140_-_admitted_patient_care_-_finished_delivery_episode_cds;cds_v6-3_type_180_-_admitted_patient_care_-_unfinished_birth_episode_cds;cds_v6-3_type_190_-_admitted_patient_care_-_unfinished_general_episode_cds;cds_v6-3_type_200_-_admitted_patient_care_-_unfinished_delivery_episode_cds,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
30,nhs_dd_cds,critical_care_admission_source,critical_care_admission_source,CRITICAL CARE ADMISSION SOURCE,CRITICAL CARE ADMISSION SOURCE,,https://www.datadictionary.nhs.uk/data_elements/critical_care_admission_source.html,cds_v6-2_type_120_-_admitted_patient_care_-_finished_birth_episode_cds;cds_v6-2_type_130_-_admitted_patient_care_-_finished_general_episode_cds;cds_v6-2_type_140_-_admitted_patient_care_-_finished_delivery_episode_cds;cds_v6-2_type_180_-_admitted_patient_care_-_unfinished_birth_episode_cds;cds_v6-2_type_190_-_admitted_patient_care_-_unfinished_general_episode_cds;cds_v6-2_type_200_-_admitted_patient_care_-_unfinished_delivery_episode_cds;cds_v6-3_type_120_-_admitted_patient_care_-_finished_birth_episode_cds;cds_v6-3_type_130_-_admitted_patient_care_-_finished_general_episode_cds;cds_v6-3_type_140_-_admitted_patient_care_-_finished_delivery_episode_cds;cds_v6-3_type_180_-_admitted_patient_care_-_unfinished_birth_episode_cds;cds_v6-3_type_190_-_admitted_patient_care_-_unfinished_general_episode_cds;cds_v6-3_type_200_-_admitted_patient_care_-_unfinished_delivery_episode_cds,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
